Word,Freq,In Ontology,Upper-Pattern,URI,Notes
302,6,,,,
Service,6,,,,
Cleaners,6,,,,
241,6,,,,
240,6,,,,
239,6,,,,
238,6,,,,
237,6,,,,
236,6,,,,
230,6,,,,
224,6,,,,
Computer,6,,,,
East/West,6,,,,
Lock,6,,,,
Tutor,6,,,,
148,6,,,,
140,6,,,,
139,6,,,,
138,6,,,,
137,6,,,,
136,6,,,,
135,6,,,,
134,6,,,,
133,6,,,,
132,6,,,,
UnisexToilet,6,,,,
NE,6,,,,
Theatre,6,,,,
2nd,6,,,,
Video,6,,,,
Plantroom,6,,,,
046,6,,,,
042,6,,,,
041,6,,,,
040,6,,,,
039,6,,,,
038,6,,,,
037,6,,,,
034,6,,,,
029,6,,,,
Secure,6,,,,
Estates,6,,,,
10,6,,,,
Store-3,6,,,,
Servery,6,,,,
Lobby-Male,6,,,,
2,6,,,,
9,6,,,,
008-,5,,,,
007-,5,,,,
006-,5,,,,
005-,5,,,,
002-,5,,,,
Cold,5,,,,
Loft,5,,,,
Bank,5,,,,
Seminar,5,,,,
Stair-1Ground,5,,,,
313,5,,,,
309,5,,,,
Breakout,5,,,,
Ladies,5,,,,
corridor,5,,,,
252,5,,,,
249,5,,,,
248,5,,,,
247,5,,,,
246,5,,,,
245,5,,,,
244,5,,,,
243,5,,,,
242,5,,,,
228,5,,,,
227,5,,,,
Reprographic,5,,,,
Porters,5,,,,
Assessment,5,,,,
Secondt,5,,,,
150,5,,,,
149,5,,,,
147,5,,,,
145,5,,,,
144,5,,,,
131,5,,,,
130,5,,,,
NW,5,,,,
Foyer,5,,,,
061,5,,,,
059,5,,,,
054,5,,,,
053,5,,,,
051,5,,,,
050,5,,,,
049,5,,,,
047,5,,,,
044,5,,,,
036,5,,,,
035,5,,,,
06,5,,,,
05,5,,,,
04,5,,,,
Access,5,,,,
C001,5,,,,
Cupboard-1Second,5,,,,
Stairwell,5,,,,
Shelving,4,,,,
Office-2,4,,,,
Link,4,,,,
Studio,4,,,,
Toilet-,4,,,,
Block,4,,,,
Stair-3,4,,,,
Copy,4,,,,
Waste,4,,,,
Hospitality,4,,,,
Toilet-West,4,,,,
101-,4,,,,
Escape,4,,,,
Kitchenette,4,,,,
321,4,,,,
320,4,,,,
318,4,,,,
317,4,,,,
316,4,,,,
315,4,,,,
314,4,,,,
310,4,,,,
Cloak,4,,,,
Stair-1Second,4,,,,
Shower,4,,,,
Preparation,4,,,,
254,4,,,,
253,4,,,,
251,4,,,,
250,4,,,,
Bridge,4,,,,
231,4,,,,
Master,4,,,,
Machine,4,,,,
229,4,,,,
Link,4,,,,
Common,4,,,,
(2),4,,,,
Visual,4,,,,
ZZDELETE,4,,,,
152,4,,,,
151,4,,,,
146,4,,,,
143,4,,,,
142,4,,,,
141,4,,,,
Spiral,4,,,,
129,4,,,,
128,4,,,,
Lee,4,,,,
Rear,4,,,,
Waste,4,,,,
Control,4,,,,
066,4,,,,
060,4,,,,
058,4,,,,
057,4,,,,
056,4,,,,
055,4,,,,
052,4,,,,
048,4,,,,
045,4,,,,
043,4,,,,
Porters,4,,,,
01-,4,,,,
08,4,,,,
C03,4,,,,
Store-4,4,,,,
Tea,4,,,,
Tape,4,,,,
Cellar,4,,,,
Server,4,,,,
Pod,4,,,,
Lockers,4,,,,
Rest,4,,,,
3,4,,,,
C005,4,,,,
TLT,4,,,,
Cupboard-1Third,3,,,,
Waiting,3,,,,
009-,3,,,,
General,3,,,,
IT,3,,,,
Exit,3,,,,
Piano,3,,,,
Fabric,3,,,,
Passenger,3,,,,
Toilets,3,,,,
CD,3,,,,
Hall,3,,,,
Photocopiers,3,,,,
Interview,3,,,,
Rooms,3,,,,
Common,3,,,,
Foyer,3,,,,
Work,3,,,,
Chemical,3,,,,
Bed,3,,,,
Compact,3,,,,
Locker,3,,,,
Pump,3,,,,
Louvre,3,,,,
Photocopy,3,,,,
Boiler,3,,,,
03,3,,,,
02,3,,,,
Asst,3,,,,
Westside,3,,,,
1Third,3,,,,
Stair-Lift,3,,,,
Photocopy,3,,,,
Court,3,,,,
104-,3,,,,
Room-3,3,,,,
Lobby-Unisex-Male,3,,,,
Eastside,3,,,,
327,3,,,,
326,3,,,,
325,3,,,,
324,3,,,,
323,3,,,,
322,3,,,,
319,3,,,,
311,3,,,,
Waiting,3,,,,
Academics,3,,,,
ZZDelete,3,,,,
255,3,,,,
Store-1Ground,3,,,,
Riser-3,3,,,,
Riser-2,3,,,,
Riser-1,3,,,,
Jenny,3,,,,
Cupboard-1First,3,,,,
Lounge,3,,,,
Dining,3,,,,
Fourth,3,,,,
Disused,3,,,,
Fire,3,,,,
Tank,3,,,,
Centre,3,,,,
Infrastructure,3,,,,
Facility,3,,,,
153,3,,,,
SE,3,,,,
RT,3,,,,
Secretary,3,,,,
Furniture,3,,,,
FL,3,,,,
Unit,3,,,,
Referees,3,,,,
Filing-Copy,3,,,,
Beale,3,,,,
069,3,,,,
065,3,,,,
064,3,,,,
063,3,,,,
062,3,,,,
07,3,,,,
Circulation,3,,,,
level,3,,,,
Store-1First,3,,,,
Sound,3,,,,
Collection,3,,,,
Cupboard-1Ground,3,,,,
Science,3,,,,
floor,3,,,,
010-,3,,,,
Intake,3,,,,
Switchroom,3,,,,
C004,3,,,,
C003,3,,,,
Ramped,3,,,,
Recycling,3,,,,
R,3,,,,
E,3,,,,
Atrium,2,,,,
Estates,2,,,,
Manager,2,,,,
Beverage,2,,,,
Stores,2,,,,
009a,2,,,,
PVC,2,,,,
Human-Computer,2,,,,
006a,2,,,,
Flor,2,,,,
Office-3,2,,,,
Room-1First,2,,,,
Conditioning,2,,,,
Catering,2,,,,
Crushing,2,,,,
Conference,2,,,,
11First,2,,,,
Oil,2,,,,
Canteen,2,,,,
Drying,2,,,,
Office-1Ground,2,,,,
Front,2,,,,
Communications,2,,,,
Bin,2,,,,
Corridor-5,2,,,,
Corridor-4,2,,,,
Corridor-1,2,,,,
G09,2,,,,
G08,2,,,,
G07,2,,,,
G06,2,,,,
G05,2,,,,
G04,2,,,,
G03,2,,,,
G02,2,,,,
G01,2,,,,
Vending,2,,,,
Packing,2,,,,
Corridor-1First,2,,,,
Stair-2,2,,,,
MaleToilet,2,,,,
Bay,2,,,,
Disabled,2,,,,
Unisex,2,,,,
Assistant,2,,,,
Mess,2,,,,
01,2,,,,
Toliet,2,,,,
Lobby-Toilet,2,,,,
103-,2,,,,
101a,2,,,,
ICT,2,,,,
102-,2,,,,
Reading,2,,,,
!st,2,,,,
001,2,,,,
E015,2,,,,
331,2,,,,
330,2,,,,
second,2,,,,
329,2,,,,
Balance,2,,,,
Toddler,2,,,,
271a,2,,,,
F16,2,,,,
F15,2,,,,
F14,2,,,,
F13,2,,,,
F12,2,,,,
F11,2,,,,
Rooftop,2,,,,
ENT,2,,,,
Wash,2,,,,
Adjacent,2,,,,
Student,2,,,,
Team,2,,,,
Social,2,,,,
Private,2,,,,
Store-1Third,2,,,,
Gardeners,2,,,,
Senior,2,,,,
201a,2,,,,
Lounge,2,,,,
Kitchen-Fourth,2,,,,
Sample,2,,,,
259,2,,,,
N2023a,2,,,,
257,2,,,,
256,2,,,,
Racking,2,,,,
Room-1Ground,2,,,,
Distribution,2,,,,
Social,2,,,,
of,2,,,,
Maths,2,,,,
041a,2,,,,
in,2,,,,
040-,2,,,,
Journals,2,,,,
Booth,2,,,,
Reference,2,,,,
Cleaner-2,2,,,,
Cleaner-1,2,,,,
Restaurant,2,,,,
Store-1Second,2,,,,
House,2,,,,
Squash,2,,,,
1Basement,2,,,,
changing,2,,,,
Coffee,2,,,,
adjacent,2,,,,
St,2,,,,
Rest,2,,,,
Refectory,2,,,,
SW,2,,,,
147a,2,,,,
Kitchen-Ground,2,,,,
100,2,,,,
Suite,2,,,,
252a,2,,,,
Large,2,,,,
Lift-2,2,,,,
Welfare,2,,,,
032a,2,,,,
Maintenance,2,,,,
Science,2,,,,
Squash,2,,,,
Play,2,,,,
External,2,,,,
N0020,2,,,,
A002,2,,,,
A001,2,,,,
E115d,2,,,,
Furniture,2,,,,
Education,2,,,,
Print,2,,,,
LadiesToilet,2,,,,
LRC,2,,,,
Kitchen-Second,2,,,,
Smoking,2,,,,
Garage,2,,,,
071,2,,,,
070,2,,,,
068,2,,,,
067,2,,,,
Annexe,2,,,,
2a,2,,,,
33,2,,,,
1st,2,,,,
20,2,,,,
16,2,,,,
15,2,,,,
14,2,,,,
13,2,,,,
11,2,,,,
1-,2,,,,
026-,2,,,,
024-,2,,,,
023-,2,,,,
Flammable,2,,,,
Stair-1Third,2,,,,
022-,2,,,,
Dry,2,,,,
021-,2,,,,
020-,2,,,,
Research,2,,,,
Air,2,,,,
Editing,2,,,,
N1001,2,,,,
E211c,2,,,,
stairs,2,,,,
Corridor-1Ground,2,,,,
Testing,2,,,,
Catering,2,,,,
External,2,,,,
